sessionID: 203
Game: GP2
gameID: P2
numPatches: 6
initialHerdSize: 10
numHH: 1
numYears: 1
numPhases: 2
hasChoosingShared?: true
hasChoosingPrivate?: false
hasForage?: false
maxPrivateSquares: 1
baseSquaresPerDay: 3
pS_base: 1
HpA_base: 1
dP_dHpA: 0.1
harvest_day: 60
dP_dfNeeds: 0.2
needsDays: 10
initialScore: 100
phaseLengthDays: 4
probDeathPoor: 0.6
probDeathOk: 0.2
probDeathGood: 0
grassR: 0.4
grassK: 200
grassE0: 5
showToggleButton: true
animalNeeds: 8
downThreshold: 0.6
upThreshold: 0.8
grassUndergroundFraction: 0.1
maxColorRain: 10
grass_1: 5
grass_2: 5
grass_3: 0
grass_4: 0
grass_5: 0
grass_6: 3
grass_7: 4
grass_8: 0
grass_9: 0
grass_10: 4
grass_11: 4
grass_12: 3
grass_13: 0
grass_14: 3
grass_15: 4
grass_16: 0
clim_1: 2
clim_2: 4
clim_3: 6
clim_4: 3
clim_5: 0
clim_6: 6
clim_7: 6
clim_8: 0
phase_1: P
phase_2: P
phase_3: P
phase_4: P
phase_5: P
phase_6: P
phase_7: P
phase_8: P

Choosing shared land at 10:29:25.654 AM 18-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:35:09.290 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:35:10.555 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 3 at 10:35:10.572 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 1 at 10:35:10.724 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 4 at 10:35:11.457 AM 18-Oct-2021
Case 3.6 - Player 1 deactivating avatar at 10:35:11.555 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 2 at 10:35:12.110 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 2 at 10:35:12.421 AM 18-Oct-2021
Case 3.14 - Player 4 selecting patch 2 2 to move to at 10:35:13.702 AM 18-Oct-2021
Case 3.6 - Player 1 activating avatar at 10:35:13.706 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 0 1 at 10:35:14.107 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 1 at day 2 at 10:35:15.354 AM 18-Oct-2021
Case 3.14 - Player 3 selecting patch 5 3 to move to at 10:35:15.667 AM 18-Oct-2021
Case 3.6 - Player 4 activating avatar at 10:35:15.672 AM 18-Oct-2021
Case 3.5 - Player 2 viewing patch 1 1 at 10:35:16.245 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 1 at day 4 at 10:35:17.046 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:35:17.512 AM 18-Oct-2021
Case 3.11 - Player 4 cycling avatar schedule to 2 at day 5 at 10:35:17.636 AM 18-Oct-2021
Case 3.11 - Player 1 cycling avatar schedule to 2 at day 3 at 10:35:18.356 AM 18-Oct-2021
Case 3.5 - Player 3 viewing patch 5 3 at 10:35:18.419 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 3 at 10:35:19.022 AM 18-Oct-2021
Case 3.2 - Player 3 cancelled their own path to patch 5 3 at 10:35:19.980 AM 18-Oct-2021
Case 3.14 - Player 4 selecting patch 3 1 to move to at 10:35:21.195 AM 18-Oct-2021
Case 3.14 - Player 2 selecting patch 0 1 to move to at 10:35:21.886 AM 18-Oct-2021
Case 3.5 - Player 3 viewing patch 2 3 at 10:35:24.061 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:35:24.762 AM 18-Oct-2021
Case 3.6 - Player 3 activating avatar at 10:35:25.906 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 1 at day 3 at 10:35:26.311 AM 18-Oct-2021
Case 3.15 - Player 4 clicked confirm at 10:35:26.853 AM 18-Oct-2021
Case 3.11 - Player 2 cycling avatar schedule to 2 at day 4 at 10:35:28.217 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 1 at day 1 at 10:35:29.264 AM 18-Oct-2021
Case 3.11 - Player 3 cycling avatar schedule to 2 at day 2 at 10:35:30.534 AM 18-Oct-2021
Case 3.14 - Player 2 selecting patch 0 2 to move to at 10:35:31.488 AM 18-Oct-2021
Case 3.6 - Player 2 activating avatar at 10:35:33.739 AM 18-Oct-2021
